imagen,distancia_coord1,distancia_coord2,error_mse_coord1,error_euclidean_coord1,error_mse_coord2,error_euclidean_coord2
Normal-625.png,3.605551275463989,6.0,255.79903381642512,727.670254991916,262.188198757764,649.7099352788135
Viral Pneumonia-1321.png,1.0,5.0,199.54927536231884,642.7028862546052,188.10372670807453,550.3153641322401
Viral Pneumonia-1043.png,3.1622776601683795,2.8284271247461903,245.69033816425122,713.1472498720022,210.5310559006211,582.1984197848702
Normal-9390.png,1.0,5.385164807134504,124.1304347826087,506.902357461474,121.22981366459628,441.7918061711874
COVID-140.png,1.0,16.1245154965971,108.78888888888889,474.5450452802136,91.81925465838509,384.48537033286453
Normal-1533.png,0.0,7.0710678118654755,78.02898550724638,401.8955088079487,92.44906832298136,385.80176256725423
COVID-1953.png,1.0,2.23606797749979,239.71884057971013,704.427427063995,172.18944099378882,526.5216044950103
COVID-1970.png,1.0,6.0,136.70772946859904,531.9633446018626,133.6614906832298,463.89115102575516
COVID-1515.png,2.0,23.769728648009426,125.08985507246376,508.85754391578,113.42546583850931,427.3347633881428
Normal-2255.png,0.0,2.23606797749979,101.14299516908213,457.5652958868275,91.75527950310558,384.3514017146288
Viral Pneumonia-40.png,2.23606797749979,5.0,96.50772946859904,446.957492386021,78.45714285714286,355.4096228297709
COVID-738.png,4.47213595499958,7.0710678118654755,125.36763285024155,509.42222173752884,100.14658385093168,401.5420276882608
Viral Pneumonia-1168.png,3.0,4.123105625617661,300.88260869565215,789.1938925257848,274.54844720496897,664.8481029528474
COVID-1843.png,10.04987562112089,7.280109889280518,633.4265700483091,1145.073360095326,573.2024844720497,960.6539439361086
Normal-1236.png,3.1622776601683795,3.1622776601683795,500.0521739130435,1017.402575188406,378.2254658385093,780.3479992926233
Normal-7279.png,5.0990195135927845,3.605551275463989,190.43574879227054,627.8550788199456,158.7173913043478,505.5046982966627
COVID-3493.png,0.0,2.8284271247461903,94.92463768115942,443.2764374518456,94.00372670807454,389.0321323489873
COVID-2068.png,1.0,2.23606797749979,72.40193236714975,387.13305206349924,67.96024844720498,330.7808942487459
Normal-647.png,2.0,4.123105625617661,255.3903381642512,727.088715357349,247.61180124223603,631.3913208145959
Normal-6194.png,2.23606797749979,4.0,418.72222222222223,930.9967776528553,407.5639751552795,810.0481467172183
Viral Pneumonia-1007.png,5.0,5.0990195135927845,101.44927536231884,458.257569495584,90.56273291925466,381.84551850191986
Normal-3541.png,1.4142135623730951,2.23606797749979,181.14830917874397,612.3536559864732,175.98260869565217,532.2893949723215
Viral Pneumonia-700.png,4.123105625617661,8.06225774829855,100.38695652173914,455.8519496503223,83.84285714285714,367.4057702323141
Viral Pneumonia-217.png,2.8284271247461903,2.0,180.98792270531402,612.0825107777546,178.927950310559,536.7252556010384
Normal-3720.png,1.4142135623730951,2.8284271247461903,110.47391304347826,478.206022546768,94.09937888198758,389.23000912057125
Viral Pneumonia-206.png,3.1622776601683795,2.23606797749979,154.27874396135266,565.116802086082,118.64906832298136,437.06406853000396
Viral Pneumonia-149.png,3.0,1.4142135623730951,282.3985507246377,764.5685057599483,258.68757763975157,645.3580401606538
Viral Pneumonia-98.png,4.47213595499958,14.0,133.79951690821255,526.2746431284714,139.31242236024843,473.59581923830365
COVID-3387.png,1.0,7.211102550927978,134.35700483091787,527.3698891669868,120.05093167701864,439.638487851098
Viral Pneumonia-1268.png,5.385164807134504,8.0,127.05410628019324,512.8372061385562,124.56273291925466,447.8236259957708
Normal-6587.png,4.0,7.280109889280518,200.94782608695652,644.9511609416638,184.7751552795031,545.4246052388909
Normal-6283.png,3.0,3.0,97.96183574879227,450.3121139831795,72.1024844720497,340.7124887643539
Viral Pneumonia-543.png,3.0,6.708203932499369,226.8521739130435,685.2619936929233,234.1701863354037,614.0146578054957
Normal-1088.png,1.0,4.123105625617661,265.5507246376812,741.4108172936243,255.7055900621118,641.6276178594559
Viral Pneumonia-1209.png,4.123105625617661,1.0,150.88502415458936,558.8667104059787,151.88757763975156,494.5088472413815
COVID-2078.png,3.1622776601683795,1.4142135623730951,157.0280193236715,570.1298097801938,147.9608695652174,488.0747893509764
Viral Pneumonia-968.png,5.0,7.0710678118654755,136.19951690821256,530.9736339970187,109.5776397515528,420.0238088489747
Normal-8661.png,1.4142135623730951,4.123105625617661,110.15265700483091,477.5102093149423,96.7919254658385,394.75942040691064
Normal-9200.png,3.1622776601683795,2.23606797749979,227.81304347826088,686.7117299129235,158.28012422360248,504.80788424904773
Viral Pneumonia-891.png,2.23606797749979,1.0,239.24299516908212,703.7279303821897,212.57329192546584,585.0153844130939
COVID-3305.png,1.4142135623730951,23.021728866442675,157.40434782608696,570.8125786981223,102.08260869565217,405.40473603548344
Viral Pneumonia-1260.png,2.23606797749979,2.23606797749979,158.82270531400965,573.3785834856409,138.4919254658385,472.199110545541
Viral Pneumonia-1327.png,2.8284271247461903,3.1622776601683795,174.6463768115942,601.2636692832854,178.2913043478261,535.7695400076417
COVID-624.png,15.524174696260024,8.246211251235321,103.86425120772947,463.6798464457993,82.65900621118013,364.8026863936174
Normal-3333.png,4.123105625617661,2.23606797749979,194.82222222222222,635.0448803037467,162.2888198757764,511.1604444790305
Viral Pneumonia-1092.png,1.0,1.0,258.10193236714974,730.9384379002106,258.30683229813667,644.8829351130328
Normal-8460.png,0.0,1.4142135623730951,298.0782608695652,785.5074792769321,233.84782608695653,613.5918839098183
Normal-7156.png,3.0,5.0990195135927845,373.3415458937198,879.1001080650599,307.4310559006211,703.5367794223696
COVID-709.png,1.0,8.0,178.78115942028987,608.3395433472988,159.42360248447204,506.62806870523866
Viral Pneumonia-1248.png,1.4142135623730951,6.0,343.58357487922706,843.3374176449187,266.2006211180124,654.6625084728772
Normal-7806.png,1.0,2.8284271247461903,131.36135265700483,521.4575725790163,110.31552795031055,421.4356415871823
Viral Pneumonia-162.png,7.211102550927978,3.1622776601683795,106.03091787439614,468.4911952214257,98.0,397.215306855111
Normal-937.png,2.8284271247461903,6.0,253.62125603864735,724.5660770419769,209.2,580.3550637325395
Normal-6922.png,1.4142135623730951,6.0,89.31545893719807,429.9802321037561,86.51614906832297,373.2170949996798
COVID-106.png,5.0,1.0,168.67536231884057,590.8959299233665,138.61739130434782,472.41295494514117
Viral Pneumonia-856.png,7.615773105863909,1.4142135623730951,139.4169082125604,537.2085256211037,121.27142857142857,441.8676272369362
COVID-2292.png,2.0,7.211102550927978,130.5367149758454,519.8182374638274,118.51304347826087,436.81346133103546
COVID-3090.png,2.23606797749979,6.082762530298219,123.64202898550725,505.90414111766273,129.2888198757764,456.2400683850554
COVID-3003.png,1.4142135623730951,2.0,153.98454106280192,564.5777182992613,134.20683229813665,464.8365304061203
Viral Pneumonia-1249.png,6.082762530298219,4.47213595499958,149.14299516908213,555.6311726316299,136.5447204968944,468.867785201756
Viral Pneumonia-890.png,2.23606797749979,10.198039027185569,231.2657004830918,691.8959459340689,235.13229813664597,615.2747353824956
COVID-824.png,2.23606797749979,16.492422502470642,183.61497584541064,616.5087185109388,165.77888198757765,516.6275253991022
Normal-4297.png,2.23606797749979,4.123105625617661,206.9169082125604,654.4600828163625,178.91055900621117,536.6991708583124
Viral Pneumonia-530.png,5.0,7.0,205.7521739130435,652.6155070177233,191.7888198757764,555.6797638928379
COVID-1943.png,1.4142135623730951,9.055385138137417,73.7352657004831,390.6814559202932,72.51242236024845,341.6796745491309
COVID-1656.png,11.180339887498949,7.211102550927978,165.14347826086956,584.6768338150572,121.70434782608696,442.65562235218476
Normal-5596.png,2.23606797749979,7.0,113.11449275362318,483.88738359250493,97.12732919254658,395.44278979392203
Normal-8438.png,2.23606797749979,4.123105625617661,158.29613526570049,572.4272879589163,158.9695652173913,505.9061177728532
Normal-7608.png,1.0,6.082762530298219,83.88260869565218,416.6977321752544,81.14472049689441,361.44570823292395
Viral Pneumonia-804.png,4.0,17.029386365926403,214.25797101449277,665.9684677220085,204.10124223602483,573.2390426340481
Normal-3945.png,1.0,6.0,136.40917874396135,531.3821600317422,111.4024844720497,423.50678861146963
COVID-2251.png,3.0,2.8284271247461903,63.29468599033817,361.9668493108174,66.2192546583851,326.51646206585053
Viral Pneumonia-819.png,3.1622776601683795,6.082762530298219,170.82946859903382,594.6570440178103,153.33975155279504,496.8671854731403
Normal-1588.png,1.0,4.0,258.9671497584541,732.1625502577963,198.80683229813664,565.7552474347896
Normal-8981.png,1.4142135623730951,2.23606797749979,164.9951690821256,584.4142366506826,133.22236024844722,463.1284918896699
COVID-192.png,1.4142135623730951,22.02271554554524,191.74492753623187,630.0095237375384,128.3031055900621,454.497524745735
Normal-5098.png,1.0,1.4142135623730951,163.59903381642513,581.936422644261,146.21304347826086,485.1834704521579
COVID-2025.png,2.23606797749979,14.317821063276353,186.8256038647343,621.8753894471142,168.71055900621118,521.1755942098594
Viral Pneumonia-1167.png,9.0,6.082762530298219,238.57391304347826,702.7431963384633,221.96459627329193,597.7984610217728
Normal-9207.png,1.4142135623730951,3.0,296.6753623188406,783.6568126418605,322.2888198757764,720.3367268160079
Normal-10027.png,3.0,1.4142135623730951,140.5782608695652,539.4413777232888,109.1832298136646,419.2672178933144
Viral Pneumonia-822.png,4.123105625617661,3.1622776601683795,166.26328502415458,586.655776414074,166.54285714285714,517.8165698391662
COVID-2259.png,2.23606797749979,7.615773105863909,178.45169082125605,607.7787426358378,166.04906832298136,517.048353638226
Viral Pneumonia-793.png,3.605551275463989,5.0990195135927845,270.119806763285,747.7619942200861,263.5689440993789,651.4184523023584
Viral Pneumonia-94.png,2.23606797749979,9.0,164.25652173913045,583.1046218304225,147.55962732919255,487.41255626009473
Viral Pneumonia-101.png,2.0,6.082762530298219,203.08067632850242,648.3648664139661,186.81739130434784,548.4304878469103
COVID-670.png,6.082762530298219,21.02379604162864,99.83816425120773,454.60422347356166,75.70621118012423,349.1231874281627
Normal-6438.png,0.0,5.830951894845301,131.68260869565216,522.0948189744847,132.4670807453416,461.81381529789684
Viral Pneumonia-82.png,8.06225774829855,20.09975124224178,217.6,671.142309797259,206.26956521739132,576.2759755533801
Viral Pneumonia-889.png,3.1622776601683795,4.123105625617661,185.38599033816425,619.4747775333552,147.3298136645963,487.03285310130775
Viral Pneumonia-771.png,2.0,5.0990195135927845,156.731884057971,569.5919592129088,132.22608695652173,461.39354135054816
Normal-6859.png,1.4142135623730951,4.0,164.9328502415459,584.3038593060977,152.78819875776398,495.9727815112438
Viral Pneumonia-934.png,5.0990195135927845,9.055385138137417,119.59613526570048,497.55803681580704,108.35031055900622,417.6649374797937
Viral Pneumonia-400.png,1.0,4.47213595499958,206.0072463768116,653.0199078129242,209.67391304347825,581.012048067852
COVID-3593.png,3.1622776601683795,3.605551275463989,148.68067632850241,554.7693214300878,135.62422360248448,467.28470978622875
COVID-2933.png,1.4142135623730951,5.0,164.83091787439614,584.1232746604094,143.03664596273293,479.88436107045624
COVID-2913.png,1.4142135623730951,1.0,275.83671497584544,755.6335090505185,224.8832298136646,601.7158797971016
Normal-10144.png,1.0,6.0,85.70966183574879,421.2113483751358,94.52981366459628,390.1192125491899
Viral Pneumonia-847.png,9.055385138137417,4.0,187.59758454106282,623.1588882460075,168.55652173913043,520.9376162267417
Viral Pneumonia-1265.png,4.47213595499958,14.035668847618199,103.50917874396136,462.8865951828806,93.9807453416149,388.9845755296732
Normal-6955.png,2.0,4.123105625617661,161.9777777777778,579.0457667576891,149.66459627329192,490.87676661255824
Normal-3805.png,1.4142135623730951,3.1622776601683795,143.6169082125604,545.240313990079,117.83105590062112,435.55481859348083
Normal-2430.png,3.605551275463989,20.0,100.73091787439614,456.63223714494796,88.88260869565218,378.2869281378885
Normal-2183.png,1.0,1.4142135623730951,214.15797101449274,665.8130368203975,180.1248447204969,538.5174091893409
Normal-8144.png,3.1622776601683795,24.020824298928627,209.44106280193236,658.4398226109961,204.38136645962732,573.6322863995715
Normal-7314.png,1.0,1.4142135623730951,168.27294685990339,590.1906471641176,146.56645962732918,485.769492660871
Normal-7327.png,2.0,4.0,155.46038647342996,567.276828365129,133.4689440993789,463.55690049874136
Normal-9875.png,2.0,4.0,142.0864734299517,542.3273918953385,148.19937888198757,488.4680132823438
Normal-7595.png,8.0,1.4142135623730951,118.46135265700484,495.19188200131066,99.8,400.84660407692115
Normal-9898.png,0.0,5.0990195135927845,189.8,626.8061901417375,195.8751552795031,561.5683395634052
Normal-10115.png,1.0,4.123105625617661,168.40338164251207,590.4193425015817,190.444099378882,553.7282727114447
Normal-2744.png,2.23606797749979,1.4142135623730951,129.22995169082125,517.209822025839,110.49875776397515,421.7854905043558
Normal-5861.png,0.0,3.0,201.85507246376812,646.4054455216169,183.80186335403727,543.9862130605885
Normal-8561.png,0.0,24.08318915758459,171.4231884057971,595.6895164429201,156.2024844720497,501.48379834247885
Normal-9419.png,2.8284271247461903,27.018512172212592,142.83478260869566,543.7536206776007,126.59378881987578,451.4598542506299
Normal-3856.png,0.0,1.0,127.20338164251207,513.1383828949068,101.78757763975155,404.81847783914213
Normal-4874.png,1.4142135623730951,1.4142135623730951,146.40241545893718,550.5024977236707,126.81801242236025,451.85949143511414
Normal-9175.png,1.0,2.0,161.48357487922706,578.1617420756928,124.19627329192546,447.16439929851305
Normal-4005.png,1.0,2.23606797749979,337.69951690821256,836.0849239162252,358.67329192546583,759.9105210483666
Normal-1254.png,1.4142135623730951,3.605551275463989,410.15942028985506,921.4282392025979,343.15714285714284,743.2920018404611
Normal-52.png,5.0,19.026297590440446,197.46425120772946,639.3363746886298,187.69813664596273,549.7217477961009
Normal-128.png,3.0,2.23606797749979,222.18260869565216,678.1725444162422,233.08260869565217,612.587136658941
Normal-223.png,5.0990195135927845,10.0,468.5405797101449,984.8243498208195,396.9260869565217,799.4066549635423
Normal-238.png,2.23606797749979,1.4142135623730951,338.78599033816425,837.4288029438682,290.4950310559006,683.8837620531723
Normal-270.png,1.4142135623730951,1.4142135623730951,241.17004830917875,706.5564379439197,208.02298136645962,578.7201396184515
Normal-335.png,1.0,1.4142135623730951,227.08840579710144,685.6186986948358,211.4111801242236,583.4140896481675
Normal-359.png,1.4142135623730951,1.4142135623730951,325.4072463768116,820.7271166471837,286.24844720496895,678.866702674391
Normal-445.png,7.0710678118654755,2.23606797749979,272.17632850241546,750.6030908542809,243.72049689440993,626.4104085980692
Normal-456.png,1.0,1.4142135623730951,257.3487922705314,729.8712215178784,219.8689440993789,594.9697471300536
Normal-551.png,6.324555320336759,1.0,366.2096618357488,870.6629657910115,322.21801242236023,720.2575928096836
Normal-706.png,1.4142135623730951,1.0,350.1526570048309,851.3612629195669,277.52360248447206,668.4407228767559
Normal-764.png,4.47213595499958,5.385164807134504,310.456038647343,801.6507967937162,295.38198757763973,689.6122098687058
Normal-846.png,3.1622776601683795,9.055385138137417,412.4647342995169,924.0140691569583,389.4173913043478,791.8093204806319
Normal-1211.png,1.4142135623730951,4.47213595499958,333.75652173913045,831.1895090772019,253.2832298136646,638.58123993741
Normal-1466.png,6.708203932499369,10.770329614269007,415.7449275362319,927.6809796476373,364.5273291925466,766.0868097023993
Normal-1537.png,13.92838827718412,16.492422502470642,462.8135265700483,978.7870044090287,359.6062111801242,760.8981535001908
Normal-1572.png,3.1622776601683795,10.0,370.81111111111113,876.1158599180818,322.92919254658386,721.052009219862
Normal-1604.png,1.4142135623730951,3.1622776601683795,257.9217391304348,730.6832419044521,185.03167701863353,545.8030780418886
Normal-1659.png,30.364452901377952,20.248456731316587,709.4705314009661,1211.8597278563225,626.3434782608696,1004.1976897005887
Normal-1756.png,5.656854249492381,16.492422502470642,595.1376811594203,1109.9256731871733,528.6819875776398,922.5930847345431
Normal-1882.png,1.0,16.0,481.031884057971,997.8657224296263,346.0776397515528,746.4482567465745
Normal-1891.png,2.23606797749979,8.06225774829855,204.83574879227052,651.160502487674,207.52732919254657,578.0302760236699
Normal-1927.png,5.0,5.0990195135927845,169.06376811594203,591.5758615765184,164.96583850931677,515.3590981053891
Normal-1932.png,6.4031242374328485,6.324555320336759,178.3719806763285,607.6429872877659,141.25465838509317,476.8857305476858
Normal-1940.png,24.698178070456937,15.524174696260024,871.2811594202899,1342.9638863349974,700.9260869565218,1062.30457026222
Normal-1943.png,0.0,7.211102550927978,202.23333333333332,647.0108190749208,193.55031055900622,558.2257607814244
Normal-1945.png,4.123105625617661,13.601470508735444,334.31787439613527,831.888213644117,275.888198757764,666.4683038224699
Normal-1978.png,4.47213595499958,6.0,91.31642512077295,434.77005416656743,85.93540372670807,371.96236368751073
Normal-2001.png,6.708203932499369,20.09975124224178,596.1763285024155,1110.8937843016315,410.57329192546587,813.0332096538247
Normal-2007.png,1.0,1.0,413.9323671497585,925.6565237711017,387.2167701863354,789.5688697004208
Normal-2045.png,1.0,4.47213595499958,291.580193236715,776.8983202453202,255.92360248447204,641.9010827222525
Normal-2076.png,6.0,1.0,163.76425120772947,582.230195025988,151.2111801242236,493.4065261019558
Normal-2095.png,0.0,29.017236257093817,291.424154589372,776.6904145153331,271.6689440993789,661.3524022788456
Normal-2121.png,25.0,12.36931687685298,358.5536231884058,861.5137839872326,277.9391304347826,668.9409540460205
Normal-2267.png,1.4142135623730951,6.0,87.12898550724638,424.6845888421194,81.22484472049689,361.6241142401872
Normal-2281.png,1.0,2.8284271247461903,145.71884057971013,549.2158045795842,141.81242236024843,477.82632828256754
Normal-2401.png,29.614185789921695,14.0,565.6169082125604,1082.047595995666,306.0192546583851,701.9195110552206
Normal-2647.png,11.661903789690601,8.54400374531753,395.3632850241546,904.6557356254367,309.2708074534161,705.6387177585992
Normal-2881.png,14.035668847618199,44.04543109109048,860.0347826086957,1334.2683388284381,691.9981366459627,1055.517408667427
Normal-3351.png,29.68164415931166,17.11724276862369,756.9797101449275,1251.7779355780322,373.21987577639754,775.1670787643138
COVID-2.png,7.211102550927978,9.486832980505138,267.756038647343,744.4830421171458,161.8198757763975,510.42139453592654
COVID-18.png,4.0,5.0990195135927845,177.38743961352657,605.9636952821513,124.93726708074534,448.4963767969592
COVID-403.png,16.0312195418814,17.029386365926403,84.72850241545893,418.79350520274306,71.62111801242236,339.57326160933223
COVID-449.png,7.280109889280518,2.8284271247461903,145.94975845410627,549.650798234661,135.06708074534163,466.32392175396706
COVID-477.png,1.4142135623730951,23.0,192.5830917874396,631.3849855674429,139.10124223602483,473.2367272306747
COVID-500.png,4.47213595499958,14.035668847618199,168.4671497584541,590.5311168770025,102.45093167701863,406.1354453873732
COVID-526.png,4.47213595499958,12.041594578792296,285.1342995169082,768.2629758097158,199.82546583850933,567.2027856066999
COVID-564.png,7.810249675906654,15.297058540778355,165.06183574879228,584.5322916657385,134.79316770186335,465.850834495335
COVID-575.png,3.605551275463989,9.219544457292887,345.15700483091786,845.2662302493812,271.8807453416149,661.6101571167118
COVID-584.png,1.4142135623730951,1.4142135623730951,236.1,699.0901229455327,214.64223602484472,587.8554244029734
COVID-605.png,9.0,0.0,145.14492753623188,548.1331954917528,117.10124223602485,434.2038691674684
COVID-642.png,2.0,16.1245154965971,101.86473429951691,459.194947707398,94.71552795031056,390.5022407106008
COVID-727.png,1.0,10.0,155.77342995169082,567.8476908467621,126.72422360248447,451.69237319219815
COVID-782.png,3.605551275463989,3.1622776601683795,175.61739130434782,602.9328320799922,176.23105590062113,532.6649979114453
COVID-914.png,5.0,18.439088914585774,122.91642512077294,504.4174858190386,84.85962732919255,369.62683885237556
COVID-947.png,4.123105625617661,5.830951894845301,169.26763285024154,591.9324285761003,117.92919254658385,435.7361587015702
COVID-972.png,3.1622776601683795,17.029386365926403,97.35265700483092,448.90979049247744,70.81428571428572,337.65514952388924
COVID-979.png,9.219544457292887,22.090722034374522,82.88164251207729,414.2040559917298,78.9447204968944,356.5122718785428
COVID-998.png,4.47213595499958,20.615528128088304,253.87922705314008,724.9344797980021,167.844099378882,519.8355509197115
COVID-1028.png,1.4142135623730951,2.8284271247461903,112.76376811594203,483.13662663888357,107.127950310559,415.3022995361331
COVID-1088.png,2.0,8.602325267042627,155.8743961352657,568.0316892568583,111.55217391304348,423.7912221837541
COVID-1103.png,13.341664064126334,11.40175425099138,221.95507246376812,677.825198705389,147.8913043478261,487.9600393474859
COVID-1137.png,2.23606797749979,7.0710678118654755,364.02367149758453,868.0604817637997,281.00993788819875,672.6261963379065
COVID-1258.png,6.324555320336759,13.601470508735444,168.49468599033816,590.5793765447622,139.74099378881988,474.3237291133557
COVID-1454.png,6.4031242374328485,5.385164807134504,116.83961352657005,491.79060584765136,94.31987577639751,389.6857708462037
COVID-1498.png,1.0,6.324555320336759,122.82222222222222,504.2241565018479,112.43167701863354,425.45857612698325
COVID-1540.png,3.605551275463989,7.280109889280518,167.43623188405797,588.7214961252902,157.98198757763976,504.3322317679091
COVID-1558.png,4.242640687119285,9.055385138137417,67.2647342995169,373.14608399392324,79.16832298136646,357.01680632709713
COVID-1591.png,2.23606797749979,2.0,208.16425120772948,656.4297372910523,152.42111801242237,495.37662439804325
COVID-1751.png,7.0,1.4142135623730951,428.63574879227053,941.9532897123934,376.4695652173913,778.5345207503647
COVID-1785.png,5.0990195135927845,21.02379604162864,182.01159420289855,613.8110458439144,160.35962732919253,508.1131763692022
COVID-1935.png,7.615773105863909,10.198039027185569,341.9053140096618,841.2752225045024,268.5372670807453,657.5294670203002
COVID-2242.png,2.23606797749979,5.0990195135927845,205.12850241545894,651.6256594088358,198.1701863354037,564.8486522954622
COVID-2281.png,1.0,12.083045973594572,184.70531400966183,618.336477979425,143.4863354037267,480.63811750630015
COVID-2287.png,5.385164807134504,11.704699910719626,331.5507246376812,828.4382897959268,282.3186335403727,674.1906258618552
COVID-2426.png,8.06225774829855,16.0312195418814,195.25700483091788,635.7530967285963,118.84347826086956,437.4219930456172
COVID-2536.png,1.4142135623730951,21.213203435596427,154.4599033816425,565.4484945598493,113.53540372670807,427.5418108208833
COVID-2594.png,5.0,24.08318915758459,199.76618357487922,643.0520974229071,138.79875776397515,472.72190556393724
COVID-2616.png,8.48528137423857,19.6468827043885,159.6183574879227,574.8130130746868,153.43229813664595,497.0171023214392
COVID-2705.png,5.0,4.47213595499958,256.87632850241545,729.2009325282024,178.41863354037267,535.9608194635126
